客户id,登录账号,客户名称,分销关系关联时间,订单号,产品id,产品名称,实例id,实例首购时间,订单类型,订单时长（月）,支付时间,原价,应付金额,实付金额,项目ID,是否算评级业绩,评级业绩,消费账号数,不返佣原因,合同返佣比例,佣金比例,佣金金额,是否伙伴与客户协同的订单,退款订单对应的正向订单,客户类型,认证类型,注册时间,本产品大类是否有历史消费
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,220915592640594,eip_pre,EIP（包月）,eip-bp1uevtfx4guhyh6jer2c,2019-03-29 08:48:50,续费,1月,2023-01-16 11:38:19,71,71,71,,是,71,885,,,0.12,8.52,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,naspost,文件存储（按量付费）,03ced4b490,2018-03-21 12:22:30,后付费,,2023-01-27 23:59:59,0.264,0.24,0.24,,是,0.24,885,,,0.15,0.036,否,,自己,1,2018-02-28 19:01:16,无
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,naspost,文件存储（按量付费）,03ced4b490,2018-03-21 12:22:30,后付费,,2023-01-18 23:59:59,0.264,0.24,0.24,,是,0.24,885,,,0.15,0.036,否,,自己,1,2018-02-28 19:01:16,无
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2023-01-15 23:59:59,1.44,1.44,1.44,,是,1.44,885,,,0.12,0.1728,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,naspost,文件存储（按量付费）,03ced4b490,2018-03-21 12:22:30,后付费,,2023-01-01 23:59:59,0.264,0.24,0.24,,是,0.24,885,,,0.15,0.036,否,,自己,1,2018-02-28 19:01:16,无
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,220917049930594,vm,云服务器ECS(包月),i-bp1et2qekjwneduscxdz,2020-10-28 10:00:49,续费,1月,2023-01-16 11:25:45,275,275,275,,是,275,885,,,0.12,33,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,naspost,文件存储（按量付费）,03ced4b490,2018-03-21 12:22:30,后付费,,2023-01-25 23:59:59,0.264,0.24,0.24,,是,0.24,885,,,0.15,0.036,否,,自己,1,2018-02-28 19:01:16,无
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,naspost,文件存储（按量付费）,03ced4b490,2018-03-21 12:22:30,后付费,,2023-01-19 23:59:59,0.264,0.24,0.24,,是,0.24,885,,,0.15,0.036,否,,自己,1,2018-02-28 19:01:16,无
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2023-01-25 23:59:59,1.44,1.44,1.44,,是,1.44,885,,,0.12,0.1728,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,220915592180594,vm,云服务器ECS(包月),i-bp163own56quy7ur3bc2,2018-03-01 15:58:41,续费,1月,2023-01-16 11:37:05,"1,479","1,429","1,429",,是,"1,429",885,,,0.12,171.48,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,naspost,文件存储（按量付费）,03ced4b490,2018-03-21 12:22:30,后付费,,2023-01-26 23:59:59,0.264,0.24,0.24,,是,0.24,885,,,0.15,0.036,否,,自己,1,2018-02-28 19:01:16,无
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2023-01-28 23:59:59,1.44,1.44,1.44,,是,1.44,885,,,0.12,0.1728,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,naspost,文件存储（按量付费）,03ced4b490,2018-03-21 12:22:30,后付费,,2023-01-03 23:59:59,0.264,0.24,0.24,,是,0.24,885,,,0.15,0.036,否,,自己,1,2018-02-28 19:01:16,无
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,220918753840594,vpn_pre,VPN网关（包月）,vpn-bp144yv85k9hu2qtwajat,2020-08-17 18:09:10,退款,0月,2023-01-16 13:20:06,-27.45,-27.45,-27.45,,是,-27.45,885,,,0.12,-3.294,否,220261303940594,自己,1,2018-02-28 19:01:16,-
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,naspost,文件存储（按量付费）,03ced4b490,2018-03-21 12:22:30,后付费,,2023-01-20 23:59:59,0.264,0.24,0.24,,是,0.24,885,,,0.15,0.036,否,,自己,1,2018-02-28 19:01:16,无
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2023-01-31 23:59:59,1.44,1.44,1.44,,是,1.44,885,,,0.12,0.1728,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2023-01-09 23:59:59,1.44,1.44,1.44,,是,1.44,885,,,0.12,0.1728,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2023-01-05 23:59:59,1.44,1.44,1.44,,是,1.44,885,,,0.12,0.1728,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2023-01-01 23:59:59,1.44,1.44,1.44,,是,1.44,885,,,0.12,0.1728,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2023-01-13 23:59:59,0.960624,0.96,0.96,,是,0.96,885,,,0.12,0.1152,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2023-01-04 23:59:59,0.957384,0.72,0.72,,是,0.72,885,,,0.12,0.0864,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2023-01-17 23:59:59,0.971952,0.96,0.96,,是,0.96,885,,,0.12,0.1152,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,eip,弹性公网IP（后付费）,eip-bp1rbggbsn9egcgcfltmx,2020-08-13 09:45:22,后付费,,2023-01-18 23:59:59,1.44,1.44,1.44,,是,1.44,885,,,0.12,0.1728,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2023-01-14 23:59:59,0.971952,0.96,0.96,,是,0.96,885,,,0.12,0.1152,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,220917915570594,vm,云服务器ECS(包月),i-bp11y15z8msau9xownre,2018-03-16 17:54:56,续费,1月,2023-01-16 11:24:08,436,436,436,,是,436,885,,,0.12,52.32,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2023-01-03 23:59:59,0.956568,0.72,0.72,,是,0.72,885,,,0.12,0.0864,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,220782875540594,nat_gw_pre,NAT网关（包年包月）,ngw-bp1xws00v6oe7nb7nyjow,2020-11-12 16:08:35,续费,12月,2023-01-10 14:32:39,"3,672","3,121.2","3,121.2",,是,"3,121.2",885,,,0.12,374.544,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,,snapshot,快照,cn-hangzhou,2018-04-16 12:44:24,后付费,,2023-01-07 23:59:59,0.969144,0.96,0.96,,是,0.96,885,,,0.12,0.1152,否,,自己,1,2018-02-28 19:01:16,有
1603219815676729,jingefund,宁波金戈量锐资产管理有限公司,2018-02-28 19:01:16,220918023970594,nat_gw_pre,NAT网关（包年包月）,ngw-bp123h9gjyhd562ol5hsr,2019-03-29 08:57:20,续费,1月,2023-01-16 11:38:49,306,306,306,,是,306,885,,,0.12,36.72,否,,自己,1,2018-02-28 19:01:16,有
